English,Arabic,Definition
Acceptable interruption window,فترة توقف النظام المقبولة,The maximum period of time that a system can be unavailable before compromising the achievement of the enterprise's business objectives.
Acceptable use policy,سياسة الإستخدام المسموح بها,A policy that establishes an agreement between users and the enterprise and defines for all parties' the ranges of use that are approved before gaining access to a network or the Internet
Access control,ضوابط الإستخدام,"The processes, rules and deployment mechanisms that control access to information systems, resources and physical access to premises"
Access control list (ACL),قائمة المستخدمين وصلاحياتهم,An internal computerized table of access rules regarding the levels of computer access permitted to logon IDs and computer terminals.
Access control table,جدول المستخدمين وصلاحياتهم,An internal computerized table of access rules regarding the levels of computer access permitted to logon IDs and computer terminals
Access method,طريقة الوصول,"The technique used for selecting records in a file, one at a time, for processing, retrieval or storage+C6The access method is related to, but distinct from, the file organization, which determines how the records are stored."
Access path,مسار الوصول,The logical route that an end user takes to access computerized information
Access rights,صلاحيات الاستخدام,"The permission or privileges granted to users, programs or workstations to create, change, delete or view data and files within a system, as defined by rules established by data owners and the information security policy"
Access server,خادم التحقق من الصلاحيات,Provides centralized access control for managing remote access dial-up services
Accountability,المساءلة,The ability to map a given activity or event back to the responsible party
Accountability of governance,مسؤولية الحوكمة,"Governance ensures that enterprise objectives are achieved by evaluating stakeholder needs, conditions and options; setting direction through prioritization and decision making; and monitoring performance, compliance and progress against plans. In most enterprises, governance is the responsibility of the board of directors under the leadership of the chairperson."
Accountable party,الجهة المسؤولة,"The individual, group or entity that is ultimately responsible for a subject matter, process or scope"
Acknowledgment (ACK),إقرار,"A flag set in a packet to indicate to the sender that the previous packet sent was accepted correctly by the receiver without errors, or that the receiver is now ready to accept a transmission"
Active recovery site,الموقع البديل النشط,"A recovery strategy that involves two active sites, each capable of taking over the other's workload in the event of a disaster"
Active response,الاستجابة الفورية,"A response in which the system either automatically, or in concert with the user, blocks or otherwise affects the progress of a detected attack"
Address space,العناوين المتاحة,The number of distinct locations that may be referred to with the machine address
Addressing,العنونة,The method used to identify the location of a participant in a network
Administrative control,ضوابط إدارية,"The rules, procedures and practices dealing with operational effectiveness, efficiency and adherence to regulations and management policies"
Advanced Encryption Standard (AES),نظام التشفير المتقدم,A public algorithm that supports keys from 128 bits to 256 bits in size
Advanced persistent threat (APT),تهديد متطور دائم,An adversary that possesses sophisticated levels of expertise and significant resources which allow it to create opportunities to achieve its objectives using multiple attack vectors (NIST SP800-61)
Adversary,خصم/عدو,A threat agent
Adware,برنامج دعائي,"A software package that automatically plays, displays or downloads advertising material to a computer after the software is installed on it or while the application is being used"
Alert situation,حالة إنذار,The point in an emergency procedure when the elapsed time passes a threshold and the interruption is not resolved. The enterprise entering into an alert situation initiates a series of escalation steps.
Alignment,موائمة,A state where the enablers of governance and management of enterprise IT support the goals and strategies of the enterprise
Allocation entry,قيد مالي متكرر,A recurring journal entry used to allocate revenues or costs
Alternate facilities,مركز المعلومات البديل,"Locations and infrastructures from which emergency or backup processes are executed, when the main premises are unavailable or destroyed"
